secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,delta,gamma,vega,theta,optionid,index_flag,issuer,exercise_style
101594,2018/01/02,2018/01/12,2018/01/02,P,144000,0.02,0.03,8,0.439002,-0.006057,0.001372,0.490416,-3.906897,118220640,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,145000,0.02,0.03,89,0.42385,-0.006258,0.001463,0.504524,-3.882157,118220641,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,146000,0.02,0.04,200,0.417781,-0.007485,0.001738,0.589291,-4.481493,118220642,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,148000,0.03,0.04,50,0.394771,-0.009068,0.002177,0.698933,-5.009876,118220644,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,149000,0.04,0.05,200,0.391985,-0.011447,0.002686,0.857504,-6.093268,118220645,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,150000,0.04,0.05,5,0.376163,-0.011888,0.002893,0.885454,-6.040981,118220646,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,152500,0.06,0.07,129,0.355021,-0.017421,0.004258,1.230445,-7.916358,118220647,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,155000,0.08,0.09,49,0.327706,-0.023769,0.006003,1.595688,-9.501018,118220648,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,157500,0.11,0.12,239,0.300855,-0.033468,0.008691,2.124732,-11.58229,118220649,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,160000,0.14,0.15,822,0.268517,-0.045279,0.012453,2.719292,-13.20123,118220650,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,162500,0.19,0.2,334,0.237407,-0.065004,0.018748,3.617712,-15.50566,118220651,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,165000,0.28,0.29,2091,0.207771,-0.100199,0.029689,5.01296,-18.74996,118220652,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,167500,0.49,0.5,2683,0.184855,-0.172753,0.048552,7.289137,-24.15826,118220653,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,170000,0.94,0.96,2810,0.167231,-0.307179,0.073821,10.02025,-29.81633,118220654,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,172500,1.87,1.9,2869,0.15775,-0.511214,0.089072,11.36691,-31.52741,118220655,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,175000,3.4,3.55,531,0.159739,-0.717651,0.075179,9.62555,-26.54086,118220656,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,177500,5.5,5.65,105,0.172977,-0.849431,0.048892,6.646937,-19.40949,118220657,0,APPLE INC,A
101594,2018/01/02,2018/01/12,2018/01/02,P,180000,7.85,8,20,0.195803,-0.912066,0.030232,4.520279,-14.70292,118220658,0,APPLE INC,A
101594,2018/01/02,2018/01/19,2018/01/02,P,100000,0,0.01,12,0.801054,-0.000604,0.000071,0.078665,-0.675593,109078366,0,APPLE INC,A
101594,2018/01/02,2018/01/19,2018/01/02,P,105000,0,0.01,14,0.733296,-0.000658,0.000084,0.085267,-0.669212,109078367,0,APPLE INC,A
101594,2018/01/02,2018/01/19,2018/01/02,P,110000,0,0.01,35,0.668489,-0.000719,0.0001,0.092721,-0.662291,109078368,0,APPLE INC,A
101594,2018/01/02,2018/01/19,2018/01/02,P,115000,0,0.01,55,0.606337,-0.00079,0.00012,0.101184,-0.654767,109078369,0,APPLE INC,A
101594,2018/01/02,2018/01/19,2018/01/02,P,120000,0.01,0.02,414,0.603064,-0.002191,0.000308,0.256113,-1.655003,109078370,0,APPLE INC,A
