PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,DLRET,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,OPENPRC,vwretd,ewretd,sprtrn
14593,2017/01/03,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,116.15000,28768565,0.002849,5257816,4,4,115.80000,0.008213,0.009122,0.008487
14593,2017/01/04,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,116.02000,21118116,-0.001119,5257816,4,4,115.85000,0.008625,0.013134,0.005722
14593,2017/01/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,116.61000,22193587,0.005085,5257816,4,4,115.92000,-0.000951,-0.000892,-0.000771
14593,2017/01/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,117.91000,31751900,0.011148,5257816,4,4,116.78000,0.002316,-0.001362,0.003517
14593,2017/01/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,118.99000,33561948,0.009159,5257816,4,4,117.95000,-0.003931,-0.003245,-0.003549
14593,2017/01/10,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,119.11000,24462705,0.001009,5257816,4,4,118.77000,0.001313,0.006083,0.000000
14593,2017/01/11,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,119.75000,27588593,0.005373,5257816,4,4,118.74000,0.003230,0.002873,0.002830
14593,2017/01/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,119.25000,27086220,-0.004175,5257816,4,4,118.89500,-0.002539,-0.003441,-0.002145
14593,2017/01/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,119.04000,26111955,-0.001761,5257816,4,4,119.11000,0.002823,0.005344,0.001850
14593,2017/01/17,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,120.00000,34441283,0.008065,5257816,4,4,118.34000,-0.003699,-0.005103,-0.002968
